-0.038,-0.323,-13.429,0.158,-0.085,0.027,0.182,-0.177,-12.746,0.146,0.123,0.020,0.000,21.308,12.442,0.000
-0.113,-0.417,-13.553,0.174,-0.084,0.024,0.167,-0.164,-13.131,0.123,0.122,0.021,0.000,20.872,11.933,0.000
-0.180,-0.401,-13.293,0.168,-0.092,0.022,0.122,-0.298,-13.021,0.132,0.105,0.021,0.000,21.314,11.593,0.000
-0.206,-0.332,-13.408,0.174,-0.092,0.021,0.084,-0.266,-13.037,0.116,0.099,0.020,0.000,21.272,10.804,0.000
-0.111,-0.415,-13.371,0.172,-0.090,0.021,0.151,-0.257,-13.031,0.117,0.110,0.021,0.000,21.314,12.782,0.000
-0.085,-0.295,-13.177,0.159,-0.085,0.024,0.160,-0.300,-12.748,0.148,0.113,0.021,0.000,21.311,11.254,0.000
-0.135,-0.402,-13.332,0.172,-0.088,0.022,0.173,-0.213,-13.105,0.120,0.102,0.021,0.000,21.210,10.804,0.000
-0.180,-0.345,-13.293,0.171,-0.097,0.023,0.127,-0.210,-13.107,0.120,0.098,0.021,0.000,21.288,10.804,0.000
-0.201,-0.388,-13.318,0.156,-0.098,0.026,0.191,-0.338,-12.873,0.136,0.097,0.021,0.000,21.997,10.804,0.000
-0.179,-0.291,-13.366,0.163,-0.098,0.021,0.145,-0.312,-13.020,0.132,0.101,0.022,0.000,21.223,12.952,0.000
-0.224,-0.321,-13.130,0.153,-0.093,0.027,0.161,-0.354,-12.861,0.147,0.100,0.022,0.000,21.256,12.103,0.000
-0.133,-0.348,-13.324,0.166,-0.090,0.026,0.151,-0.255,-13.070,0.119,0.101,0.021,0.000,21.207,11.763,0.000
-0.130,-0.216,-12.945,0.145,-0.076,0.026,0.204,-0.329,-12.632,0.155,0.117,0.019,0.000,21.227,12.782,0.000
-0.132,-0.298,-13.095,0.150,-0.075,0.026,0.184,-0.428,-12.709,0.150,0.121,0.018,0.000,20.479,10.804,0.000
-0.156,-0.366,-13.246,0.153,-0.074,0.025,0.211,-0.334,-12.899,0.136,0.122,0.022,0.000,21.311,29.251,0.000
-0.133,-0.298,-13.322,0.153,-0.075,0.024,0.206,-0.307,-12.780,0.145,0.129,0.021,0.000,21.227,10.804,0.000
